row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Rivulariapeptolide_1185_metabolomics.mzXML Peak area,2286_crude_metabolomics.mzXML Peak area,SPE_1-2_Chymo_metabolomics.mzXML Peak area,Rivulariapeptolide_1155_metabolomics.mzXML Peak area,SPE_1-1_Chymo_metabolomics.mzXML Peak area,
4,1203.6651796976726,5.303616666666667,,,,,,,,6846598.714499967,1120065.8892031386,0,817599.9900273429,2467091.2781733316,
5,887.5681513468423,6.710710000000001,,,,,,,,7786566.987218747,868707.2140800776,239760.1024404287,39507.25150878923,713811.2946914078,
8,917.5785822405135,6.700333333333333,,,,,,,,8532404.269124981,459014.0825781254,664123.1530410092,131958.49578222644,275930.8277578107,
9,584.8191089630127,5.349775,,,,,,,,3791371.1965312557,7015.805912109387,0,19490.527221069166,159259.7667983392,
17,1173.6198891702581,5.151056666666667,,,,,,,,1853706.2916250243,8.180234705988027E8,9.659445121861104E8,5.542638476126815E8,1.7410659486983246E8,
19,1231.6964518229165,5.295626666666667,,,,,,,,1763427.2034374913,193705.06941015786,909321.4961484361,15196.314412109285,37553.99585449205,
21,887.56865234375,6.57532,,,,,,,,1141509.9850703073,52539.12753906277,215211.05557617167,23841.56626025467,395522.28981054743,
27,434.17011854383685,6.2358,,,,,,,,635637.497062497,2228415.9466562206,0,2020974.6034423423,0,
28,1186.6403869628907,5.329463333333334,,,,,,,,1213194.1539374941,292124.21732031496,1389617.3748437404,996.0056434936174,2295639.7457460877,
29,1208.6220056152345,5.326713333333333,,,,,,,,1006988.3890312451,167955.08461523574,1299233.0608906248,1116.752543456992,576168.1837656205,
32,569.7947278123008,5.148433333333333,,,,,,,,999195.2125390574,9.242479369622244E7,1.1686204247071095E8,7.26728665114964E7,1.2088623610463656E7,
35,569.794734511073,5.16999,,,,,,,,514820.5079062475,7.954608087484728E7,8.827537369596125E7,1489504.0205224538,8782852.668916835,
38,584.8189804077149,5.837045833333333,,,,,,,,2156399.0897539025,439101.31596533227,729524.4369794908,830.0084804687542,0,
79,945.4720183783023,4.35796,,,,,,,,311705.91392572614,3.2070111055937883E7,611258.114390655,301569.3734472645,9.173116528376234E8,
83,433.8607990809849,2.14388,,,,,,,,5132.909118896468,5.9067340866250075E7,34254.388513671765,4118.555517028785,11310.620631103422,
84,431.86310689290366,2.10577,,,,,,,,3987.499703857418,1.4129206600875124E7,12874.34096191418,2890.417875671351,13985.399952148398,
92,433.860958644322,2.181833333333333,,,,,,,,5132.909118896468,1.282934727874997E7,1074178.2616093806,4118.555517028785,11310.620631103422,
95,610.1859692382812,8.548783333333335,,,,,,,,1277799.9801894613,1.3552888932624983E7,146420.81282812392,650397.4821992266,2680220.836703143,
97,435.858049621582,2.114716666666667,,,,,,,,621.6924795227081,1.559104168675006E7,13851.45873400875,807.2960995483277,3398.0863051757783,
99,945.4933252243769,3.839903333333333,,,,,,,,17858.2792487794,3611360.0960625103,161757.47036035135,17366.297583251886,8.928397817907019E7,
101,431.8631569417318,1.6496833333333334,,,,,,,,517.5774741516138,1.6622861043500002E7,2581.3547137451305,694.736425598148,8619.282779907231,
104,431.86323861786815,2.0359900000000004,,,,,,,,1203.8893375244065,1.2660875671562506E7,45109.41941235364,1680.1116635742017,14034.231872680599,
106,431.86317167736235,2.1980166666666667,,,,,,,,3987.499703857418,7822741.056812464,4771010.327312513,3031.991751342728,20232.164845703184,
108,433.86102905273435,2.1983266666666665,,,,,,,,5132.909118896468,6927636.851437456,3407973.2743281308,3341.429327697708,11310.620631103422,
109,993.4965804437194,3.839903333333333,,,,,,,,17276.112156066945,2021145.7676250043,291164.32678295893,14378.10402014158,4.92321913368281E7,
110,431.86318320138116,1.7523899999999997,,,,,,,,801.0464544677716,9548870.75087501,6118.8084711913825,1522.1143421630857,11997.895918579099,
117,927.4826232425751,3.837683333333333,,,,,,,,7711.633477050832,1837256.8328437554,81736.14141357406,8840.357884948706,4.608031096016791E7,
124,536.1666937220167,8.534043333333333,,,,,,,,1431401.00146874,7826287.390687497,425592.2744355456,130918.49777734037,1371131.6078515563,
131,1010.5230396001025,3.839903333333333,,,,,,,,10616.914158569438,1519092.505500005,126406.2455812985,13209.343100311238,3.380938378662493E7,
134,516.2470719172568,3.2647866666666667,,,,,,,,982.0063352050662,2460445.5419687536,76149.27133209252,455.33311083983915,5061597.775831059,
140,435.85873582628034,1.661761111111111,,,,,,,,0,4205765.60540625,819.4123914184447,0,1659.3162121582068,
144,536.1668935139974,8.675753333333333,,,,,,,,200474.15491403925,9676133.893843709,102497.92421484017,225007.18627343554,922197.0860078019,
147,1008.540035429455,3.6336041666666667,,,,,,,,6852.885357025158,759507.0243749963,900.7484963378995,843.2540463867102,0,
